act_id,issue_date,voting_date
"3386-2","2013-11-29","2015-05-11"
"3390-01","2015-05-20","2015-05-19"
"3392-01","2015-05-13","2015-05-28"
"3392-02","2015-05-13","2015-05-28"
"3392-03","2015-06-09","2015-05-28"
"3392-04","2015-06-09","2015-05-28"
"3392-05","2015-03-17","2015-05-28"
"3392-06","2015-05-12","2015-05-28"
"3395-02","2015-07-08","2015-06-15"
"3409-04","2015-07-15","2015-09-18"
"3410-02","2015-09-16","2015-10-01"
"3415-01","2015-10-07","2015-10-08"
"3418-01","2015-10-21","2015-10-22"
"3425-01","2015-11-03","2015-11-16"
"3425-02","2015-11-05","2015-11-16"
"3425-05","2015-11-05","2015-11-16"
"3425-04","2015-11-05","2015-11-16"
"3433-01","2015-11-18","2015-12-03"
"3433-02","2015-11-18","2015-12-03"
"3437-03","2015-12-02","2015-12-14"
"3437-04","2015-12-02","2015-12-14"
"3437-05","2015-12-02","2015-12-14"
"3442-01","2015-07-16","2016-01-15"
"3442-02","2016-01-06","2016-01-15"
"3445-02","2016-01-27","2016-02-12"
"3445-04","2016-01-28","2016-02-12"
"3445-03","2016-01-28","2016-02-12"
"3451-01","2016-02-12","2016-02-29"
"3451-02","2016-02-10","2016-02-29"
"3451-03","2016-02-10","2016-02-29"
"3455-01","2016-02-26","2016-03-10"
"3458-01","2016-03-02","2016-03-15"
"3080-2","2011-03-28","2011-03-31"
"3096-1","2011-06-08","2011-06-09"
"3104","2011-06-21","2011-06-28"
"3108-2","1970-01-01","2011-07-19"
"3108-7","2011-07-13","2011-07-19"
"3111-1","2011-10-25","2011-09-23"
"3118-2","2011-07-01","2011-10-10"
"3122-3","2011-11-16","2011-11-08"
"3000-2","2010-02-09","2010-03-08"
"3000-3","1970-01-01","2010-03-08"
"3010-3","1970-01-01","2010-04-26"
"3024-2","2010-06-17","2010-06-24"
"3026-1","2010-07-07","2010-06-29"
"3225-5","2013-02-14","2013-02-25"
"3225-6","2013-02-14","2013-02-25"
"3231","2012-06-13","2013-03-11"
"3234-2","2013-04-03","2013-04-22"
"3234-6","2013-01-15","2013-04-22"
"3239-2","2013-05-03","2013-05-16"
"3252-1","2013-02-11","2013-07-09"
"3260-3","2013-10-22","2013-10-07"
"3271-13 ","1970-01-01","2013-11-15"
"3275","2013-11-18","2013-11-25"
"3276-4","2013-11-22","2013-12-03"
"3276-6","2013-11-22","2013-12-03"
"3278-06","2013-11-29","2013-12-05"
"3285-06","2013-04-25","2013-12-16"
"3285-12","2013-12-09","2013-12-16"
"3287-5","2013-12-13","2013-12-17"
"3295-01","2014-02-07","2014-02-20"
"3295-16","2014-02-12","2014-02-20"
"3302-04","2014-03-04","2014-03-11"
"3302-03","2014-03-04","2014-03-11"
"3309-02","2014-02-20","2014-04-14"
"3308-15","2014-04-16","2014-04-14"
"3309-03","1970-01-01","2014-04-14"
"3310-02","2014-05-15","2014-05-06"
"3310-04","2014-05-15","2014-05-06"
"3310-06","2014-04-07","2014-05-06"
"3310-14","2014-05-15","2014-05-06"
"3310-15","2014-05-15","2014-05-06"
"3310-16","2014-04-29","2014-05-06"
"3310-17","2014-04-24","2014-05-06"
"3311-08","2014-05-15","2014-05-08"
"3311-12","2014-04-25","2014-05-08"
"3317-01","2014-02-12","2014-05-26"
"3320-01","2014-06-02","2014-06-12"
"3320-02","2014-06-02","2014-06-12"
"3320-03","2014-06-02","2014-06-12"
